title,summary,genre,rating
To Kill a Mockingbird,The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it.,Fiction,4.28
1984,A dystopian social science fiction novel and cautionary tale about the dangers of totalitarianism.,Dystopian,4.18
The Great Gatsby,The story of the mysteriously wealthy Jay Gatsby and his love for the beautiful Daisy Buchanan.,Fiction,3.93
The Catcher in the Rye,A story about adolescent alienation and loss of innocence in the protagonist Holden Caulfield.,Fiction,3.81
The Hobbit,A fantasy novel about the adventures of a hobbit named Bilbo Baggins.,Fantasy,4.27
Harry Potter and the Sorcerer's Stone,"The first book in the Harry Potter series, which follows Harry as he discovers his magical heritage.",Fantasy,4.47
Pride and Prejudice,A romantic novel that charts the emotional development of the protagonist Elizabeth Bennet.,Romance,4.26
The Diary of a Young Girl,"The diary of Anne Frank, a Jewish girl hiding from the Nazis in World War II.",Biography,4.16
The Book Thief,A historical novel about a young girl in Nazi Germany who finds solace by stealing books.,Historical Fiction,4.37
The Lord of the Rings,An epic high-fantasy novel about the quest to destroy a powerful ring.,Fantasy,4.49
The Shining,A horror novel about a family staying in an isolated hotel for the winter.,Horror,4.23
The Hunger Games,A dystopian novel set in a future where the government stages an annual event in which children fight to the death.,Dystopian,4.34
Gone Girl,A psychological thriller about a man whose wife goes missing on their fifth wedding anniversary.,Thriller,4.1
The Help,"A novel about African American maids working in white households in Jackson, Mississippi, during the early 1960s.",Historical Fiction,4.46
The Alchemist,A philosophical novel about a shepherd boy named Santiago who dreams of finding treasure in the Egyptian pyramids.,Philosophical,3.86
Life of Pi,A novel about a boy stranded on a lifeboat with a Bengal tiger.,Adventure,3.9
The Road,A post-apocalyptic novel about a father and son journeying through a desolate America.,Post-apocalyptic,4.0
Memoirs of a Geisha,A novel about a young Japanese girl sold into slavery and trained as a geisha.,Historical Fiction,4.12
The Kite Runner,A story about a young boy from Afghanistan and his journey of redemption.,Drama,4.3
The Girl with the Dragon Tattoo,A psychological thriller about a journalist and a computer hacker investigating a disappearance.,Thriller,4.14
